movie_id,keyword_id
69979,188237
8833,851
8833,2281
8833,1308
8833,1809
8833,10329
8833,11514
8833,161891
8833,174244
27608,197579
27608,235894
27608,239200
27608,249379
27608,271161
52913,131
52913,2706
53833,4344
75040,9833
75040,187056
75040,264386
80471,11722
46968,818
46968,10224
46968,9712
46968,165468
30525,2964
30525,2652
30525,12367
30525,14760
30525,188957
17591,1913
17591,1956
17591,9335
17591,195862
17591,233857
17591,268774
62400,18396
71097,9833
71097,190370
93456,970
93456,3289
93456,4130
93456,4289
93456,7397
93456,9663
93456,13072
93456,18035
93456,33479
93456,33928
93456,158750
93456,179431
93456,184783
93456,194404
93456,232939
93456,309974
93456,320420
93456,325765
93456,325779
83544,11531
37956,1157
37956,3149
46852,14577
46852,15284
46852,155325
46852,263548
8464,1415
8464,1603
8464,3183
8464,4862
8464,6968
8464,14895
8464,33841
39728,1436
39728,3523
49766,12425
49766,18257
27451,395
27451,3616
27451,6496
27451,10391
27451,14964
12434,3261
12434,5397
12434,8041
12434,10726
94830,263548
23903,15101
23903,15149
23903,18165
33989,155080
33989,170827
100,502
100,4523
100,567
100,1366
100,4262
100,7149
100,9897
100,9227
100,11488
100,10776
100,15394
100,15395
100,15396
100,18047
100,167542
100,207592
100,227944
100,227945
100,325811
54588,3800
54588,1956
54588,12617
54588,18034
54588,156580
54588,161234
81310,263548
81310,311143
84281,894
84281,15160
84281,203322
84281,286925
49529,7376
49529,1456
49529,839
49529,818
49529,10685
49529,3801
49529,9951
49529,10539
49529,10028
49529,163252
49529,179102
49529,190320
49529,195446
49529,207928
5992,131
5992,10226
5992,14714
40205,6270
40205,2343
40205,2710
40205,5732
40205,9825
40205,14793
40205,15224
40205,41368
40205,177804
40205,178329
40205,187084
40205,189964
20085,5744
20085,4112
20085,1013
20085,2381
20085,4108
20085,9927
20085,11157
20085,13027
20085,173662
20085,206515
20085,208323
20085,231653
20085,243959
20085,258533
20085,262325
20085,264411
20085,368074
63900,207317
63900,263548
63900,264598
69550,6259
69550,15266
69550,156052
69550,171206
24973,1160
24973,4178
24973,18034
24973,157894
24973,222993
24973,254678
24973,254679
47601,235485
64810,185199
80327,14673
80327,18035
80327,187056
39538,6898
39538,83
39538,2766
39538,4884
39538,6564
39538,9744
39538,14673
39538,14674
39538,14675
39538,14760
39538,17995
39538,172144
39538,188957
39538,188973
39538,208788
97399,898
97399,14529
97399,187056
94820,212
94820,5783
94820,165441
94820,187056
13016,417
13016,2652
13016,1242
13016,1956
13016,2305
13016,6126
13016,11208
13016,9309
13016,3681
13016,161304
13016,226838
15003,1646
15003,1794
15003,3434
15003,10726
15003,11061
15003,18432
15003,185262
15003,227918
15003,231149
81342,254
81342,9673
81342,10855
81342,14766
81342,182325
1717,736
1717,5744
1717,417
1717,818
1717,6078
1717,1936
1717,3088
1717,2887
1717,3134
1717,3692
1717,10614
1717,11869
1717,155697
12900,220
12900,2652
12900,1327
12900,1739
12900,1956
12900,2433
12900,1295
12900,9672
12900,157701
12900,207883
12900,239797
12900,325854
34943,9807
71510,2964
71510,490
71510,10437
71510,2035
71510,10125
71510,11494
71510,10706
71510,10983
68089,15124
68089,155291
36618,7360
46819,10226
46819,158718
46819,258533
46819,263548
287,931
287,128
287,6075
287,1485
287,965
287,493
287,1480
287,1482
287,1484
287,1486
287,1686
287,156100
76392,6149
76392,2708
76392,8015
76392,9826
76392,12371
76392,15271
76392,33556
76392,167316
76392,207046
76392,219404
13528,770
13528,2887
13528,8250
13528,9332
13528,9826
13528,12565
13528,15274
13528,174548
13528,191476
13528,212643
13528,214651
13528,225135
13528,231535
13528,236377
13528,267689
13528,311710
13528,330548
12576,6152
12576,6093
12576,13065
12576,188725
12576,190351
12576,210184
43183,155139
35789,1326
35789,1332
35789,167925
35789,179431
35789,227750
85231,3568
63859,616
63859,2041
63859,2343
63859,4344
63859,12554
63859,18298
63859,164532
63859,248760
63859,263312
4415,1563
4415,90
4415,818
4415,769
4415,1936
4415,4319
4415,6170
4415,207928
4415,229949
2517,233
2517,380
2517,3743
2517,697
2517,10235
2517,12369
2517,193460
2517,210162
2517,212737
2517,230570
2517,238263
2517,239797
2517,305168
2517,323809
2517,325761
2517,325842
2517,365778
20630,6075
49759,378
49759,5369
49759,9890
49759,18128
63585,187056
15720,13059
51197,158718
51197,163037
51197,169990
51197,251165
51197,258533
51197,263548
64259,779
64259,780
64259,1453
62688,6075
10812,8450
10812,9986
10812,10791
10812,208349
32430,745
32430,10093
32430,10873
32430,12999
32430,14765
32430,18396
32430,288816
32430,325820
67790,6513
67790,263548
2675,4932
2675,6150
2675,1715
2675,2618
2675,10235
2675,9951
2675,9872
2675,11004
2675,14909
2675,167642
2675,192962
2675,208397
2675,228753
2675,229652
2675,251667
2675,314730
2675,325817
2675,367831
4703,4034
4703,9840
4703,10703
4703,14514
4703,15060
4703,186849
4703,222820
4703,276235
57869,9715
57869,33637
57869,155030
57869,192611
57869,194404
57869,210024
57869,265979
57869,269769
57869,272493
57869,292887
93712,1991
93712,156142
93712,207317
93712,263548
31463,2805
31463,10122
46681,3193
46681,11034
46681,13098
46681,162756
91653,4344
5728,236
5728,233183
5728,298721
40355,190370
75621,444
