movie_id,company_id
42411,6246
34527,9371
34527,29165
34527,157
34527,6181
34527,5403
83796,8408
83796,8409
43862,21
52700,1432
11342,1950
79468,7894
79468,21
97822,5
1586,23651
1586,5
1586,275988
38714,4
38714,1138
38714,11496
38714,17348
32546,30290
32546,6458
32546,7680
32546,981
12406,8997
12406,2673
12406,83
11224,3166
9629,168
9629,29165
9629,1704
9629,5
25050,9177
25050,12424
25050,528
25050,16918
25050,70143
67660,1309
56153,8930
55222,75054
69370,7799
69370,15645
42774,749
1862,57342
1862,16510
56747,117704
80816,99847
13635,4298
13635,1996
13635,1992
63635,16424
72483,4343
72483,1341
72483,39611
10691,9195
10691,12548
32047,41
32047,20555
66115,73335
66115,110406
47463,9329
47463,174
47463,134798
51593,4679
51593,11511
51593,6521
51593,1341
51593,54881
38428,221540
58665,57619
58665,61547
58665,61548
78550,10330
51582,96303
50580,25894
6416,4606
71725,5940
13043,7981
13043,6301
13043,104
13043,591
4541,65204
19463,21
4286,1638
4286,1639
4286,32208
4286,1131
47845,2169
47845,174
47845,23153
34536,5466
72366,104
72366,2703
72366,15092
72366,12407
72366,792
72366,2282
72366,1245
27172,174
40067,39114
53585,21769
6473,2100
6473,1370
39919,218142
74596,3462
44422,55763
47206,1763
21832,3041
21832,529
21832,13583
21832,1194
21832,3034
21832,113750
21832,5822
76482,1405
76482,17873
76482,1546
28219,5394
28219,37580
28219,4343
28219,58
28219,109369
50004,42819
50004,29566
50004,8531
29917,5005
29917,5004
84644,635
84644,356
84644,80255
84644,265870
81746,88041
70230,27155
53289,6679
53289,54632
28522,4824
21596,3984
21596,3883
21596,792
83235,186508
31355,1115
31355,14074
31355,2389
73119,83
73119,22618
73119,22684
80655,17787
16305,4
72138,4618
72138,17
72138,11354
80907,12372
25290,591
25290,6881
25290,7682
50687,86906
50687,888
50687,13534
85166,20479
71662,170204
71662,100852
83003,8253
33793,89394
41132,112093
10184,12
10184,19813
82442,6976
20762,285
64623,234468
64623,11109
86037,4960
86037,10392
37838,116596
37838,16906
37838,310
37838,36270
56007,925
73741,1216
45485,4748
45485,12007
45485,14914
3524,1449
57958,47237
57958,22482
41121,49976
43008,14248
43008,174
27371,5170
99734,9300
99734,5822
73646,53884
73646,53885
73646,11550
52741,559
52741,1087
72040,7077
29697,77793
70621,27434
20310,47
20310,94855
50270,5128
50270,49589
49399,3502
49399,104
49399,195545
49399,147
49399,591
49399,4407
49399,20366
49399,11246
49399,95496
49399,694
55094,1931
56108,30210
56108,86743
61299,6695
98404,5
82245,3448
29549,4967
74621,5542
74621,12268
22164,62556
22164,21899
83284,94333
83284,143164
83284,131279
30924,33660
30924,60
41355,9386
41355,6308
41355,4
50865,2159
87219,21
9050,3618
44977,1569
44977,206976
44977,15357
25004,8265
25004,5974
80793,93983
80793,21258
18704,3520
18704,2931
26525,21
26525,153682
26525,217096
65439,235
65439,5746
63372,80065
32643,670
32643,15943
61837,5776
61837,5777
61837,3431
9751,2576
16992,33
16992,2307
6793,2127
6793,6762
60670,9
60670,356
60670,22997
78023,84108
30467,13282
30467,23384
35115,3166
48644,109291
69355,4300
26893,882
13058,6359
13058,7981
13058,2452
13058,10583
13058,5654
13058,12018
69719,3431
65996,59215
65996,59216
23077,174
2644,76529
92682,670
72587,13773
72587,3997
8948,2541
8948,47
42334,2922
85852,120550
85852,9266
13397,688
73191,508
73191,7567
20949,21978
44497,1373
44497,56303
44497,3923
44497,78057
44497,81990
44497,270428
50839,14861
50839,14862
50839,46225
97140,1221
58955,280441
1994,6
24859,135200
59418,1026
59418,92027
59418,142942
59418,981
71235,119816
71235,15868
90677,8972
90677,4207
96769,3324
96769,21620
86274,22310
86274,24648
86274,44632
86274,128256
86274,22309
86274,11841
86274,184393
47498,179318
47498,179319
47498,179320
47498,3498
80299,62556
84029,55219
84029,16366
20556,3797
20556,100069
45465,7070
45465,38180
16866,5653
16866,20076
16866,29566
70393,4898
25763,25
9792,43
9792,1600
9792,445
9792,444
35636,25894
54824,297
15356,5574
15356,12221
37376,197727
37376,10864
37376,1502
43197,1432
16275,3268
13956,8676
13956,10159
13956,10160
13956,19037
13956,491
21765,6255
21765,21
73705,3245
52462,152299
55647,5822
45974,1353
20105,74308
20105,74309
15645,73766
