movie_id,title,original_title,overview,release_date,runtime,original_language,status,imdb_id,popularity,vote_average,vote_count,adult_flag,video_flag,poster_path,backdrop_path,homepage,tagline,budget,revenue,collection_id,collection_name
58994,Centerfold Screen Test,Centerfold Screen Test,Take a sneak peek behind the scenes of a casting audition for roles involving nudity. Twenty-one separate castings have been compiled in this video with some of the best female auditions ever.,1985-01-01,,en,Released,tt0379210,0.3244,4.0,3,False,False,/ddnIEoLznKPI298Dm2FCKps0EpA.jpg,,,,0,0,,
20860,The Stöned Age,The Stöned Age,"Determined to avoid another night of driving aimlessly around Torrance in the Blue Torpedo, Joe and Hubbs set out on a quest for fine chicks. Their paths soon cross with Tack, from whom they learn about a pair of foreign radical chicks hanging out near the Frankie Avalon place. Over Joe's objections, Hubbs worms Tack out of the deal, and the pair take a slow ride toward their destiny.",1994-12-05,90,en,Released,tt0111293,2.5767,5.953,64,False,False,/kamyDHHWjIkW35M0d0lJ2RzXjhp.jpg,/bggXK8BospsGCNqTCw3L0HpmcnA.jpg,,,0,0,,
22779,Victory Through Air Power,Victory Through Air Power,"Based on the book by Major Alexander de Seversky's about his theories of the practical uses of long range strategic bombing. Using a combination of animation humorously telling about the development of air warfare, the film shows de Seversky illustrating his ideas of how air power could win World War II for the Allies.",1943-07-17,65,en,Released,tt0036497,0.8286,5.73,50,False,False,/7uHtN8sAlVsSbTZOvhGV8iTEfGk.jpg,/e8xNmmkolNOc8FBKWha19Q6eL4u.jpg,,There's a Thrill in the Air!,799000,788000,,
14202,The Painted Veil,The Painted Veil,"A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife.",2006-12-09,125,en,Released,tt0446755,3.4926,7.255,1260,False,False,/k41IvHDLgZO2ae7RuU77wQjScIj.jpg,/9r2vUgsFoYIvEryW77chX5moedT.jpg,,Sometimes the greatest journey is the distance between two people.,19400000,26910847,,
71509,Elvis Gratton 3 : Le retour d'Elvis Wong,Elvis Gratton 3 : Le retour d'Elvis Wong,A bumbling man finds adventure in the media world.,2004-06-23,105,fr,Released,tt0380344,0.3104,5.25,8,False,False,/5LQAQe6kuPCkHSmtoJlAByxwkC9.jpg,/ncAjU4zEWIsWK4b50zX2tjC0fVO.jpg,,Think Big Sti !!!,0,0,1112180,Elvis Gratton Collection
11103,Head Above Water,Head Above Water,"Judge George brings his young wife, Nathalie, to a remote island for a vacation. But while George accompanies their only neighbor -- Nathalie's childhood friend Lance -- on a fishing trip, Nathalie spends time with her ex, Kent. When Kent ends up dead the next morning, Nathalie tries to hide the evidence before her husband gets home. After the body is found, the events of the previous night unravel, with unexpected revelations.",1996-11-07,92,en,Released,tt0116502,1.6193,5.978,160,False,False,/snbpUmX63bbjko0j0NyugJPHd9b.jpg,/xAbmXGRLMtrzO5lYbEoPCED6KGj.jpg,,Murder just became a water sport.,0,0,,
20379,Grand Prix,Grand Prix,"The most daring drivers in the world have gathered to compete for the 1966 Formula One championship. After a spectacular wreck in the first of a series of races, American wheelman Pete Aron is dropped by his sponsor. Refusing to quit, he joins a Japanese racing team. While juggling his career with a torrid love affair involving an ex-teammate's wife, Pete must also contend with Jean-Pierre Sarti, a French contestant who has previously won two world titles.",1966-12-21,176,en,Released,tt0060472,2.7557,7.233,221,False,False,/yEXrf09o8wVRFSptYFr6VcqLjPr.jpg,/96etD6qTLBfoGYZsLb9AAcSETjE.jpg,,All the glamour and greatness of the world's most exciting drama of speed and spectacle!,9000000,20800000,,
42463,Wedding in Blood,Les Noces rouges,"In a small French town, the mayor discovers his wife is cheating on him, a betrayal that eventually leads to murder.",1973-04-12,95,fr,Released,tt0070453,1.1772,6.368,76,False,False,/1BAC8HGlfSfZobuN3WGzjaieZDt.jpg,/c8qiudxElpF56rugomKapXhwclW.jpg,,A matter of lust and death.,0,0,,
28248,Copperhead,Copperhead,Small town in the Wild West is attacked by poisonous snakes.,2008-06-28,90,en,Released,tt1027806,0.8226,5.1,8,False,False,/ljPNGJb8tp4x7ttu02NrBkw3K2g.jpg,/gHKECm81liJSsyydJeQfIQKWsCD.jpg,,,0,0,,
10827,Karo und der liebe Gott,Karo und der liebe Gott,"On the day of Karo's first communion, her parents' marital problems come to light. The ensuing separation hits her hard. Karo complains to God about her desperate situation via walkie-talkie. A gruff voice answers, eventually identifying itself as God and unwittingly providing proof of this. When Karo sees the man behind the voice, she is overcome with doubt. With the goal of reconciling her parents in mind, she forces the man into his divine role and thus to help her. The attempts staged by Karo and God to save her parents' marriage trigger a rollercoaster of emotions. In the end, Karo has grown from her failed goal and has not only found new friends for her life, but also a new perspective.",2006-08-04,94,de,Released,tt0770183,0.1289,7.0,1,False,False,/6VwO8eWBfs0b1V2QwS9JPFPgdy.jpg,/yF1bft13TtJiSEM2IepiTNX9bRt.jpg,http://www.karoundderliebegott-derfilm.de/index.php,,0,0,,
42823,The return of the prodigal husband,Возвращение блудного мужа,"Pasha (an avid mountaineer at heart) and Lisa, who lived together for twenty years and raised two children, suddenly realize that their ardent love is almost gone, and they understand each other badly. It happens in any family. But in some families, these crises are somehow resolved, and everything rolls on the usual track.  Our heroes are quite unexpectedly tightened in such a cycle of events that takes your breath away! In the year of the twentieth anniversary wife puts an ultimatum — either I or mountains. And that's just when my husband is going to go to the mountains for the last time....",2007-08-12,100,ru,Released,,0.374,,,False,False,,,,,0,0,,
40828,A Concert by the Lake,A Concert by the Lake,"Filmed at the Historic Wintershall Estate in Surrey, England, this concert brings togetzer a group of Rock Legends under the musical direction of Procol Harum's Gary Brooker to perform many of their best loved Tracks.  An amazing line-up of star soloists including Eric Clapton, Katie Melua, Roger Taylor, Ringo Starr, Paul Carrack, Andy Fairweather Low, Gary Brooker, Chris Barber, and The Drifters.",2010-02-16,112,en,Released,,0.4017,6.2,4,False,False,/uzQZSRb5FbEkGZYOuKQIlDEKsgK.jpg,,,,0,0,,
72686,Once Upon an Angel,Peau d'ange,"A grief-stricken man who just lost his mother has a one night stand with a maid. What he doesn't know is that she's a virgin. He returns to his sad world of perfume business while she, unable to forget her first lover, follows him.",2002-10-09,85,fr,Released,tt0284387,0.8052,4.667,6,False,False,/dRmAYNRZjicghnXy1KsqMiJvSfa.jpg,,,,0,0,,
74457,Redemption Road,Redemption Road,"In Tennessee, Bailey, a debt-straddled blues guitarist, is escorted across the state by a man named Augy so that he can collect his recently deceased grandfather's estate. A drama focused on an individual's spiritual redemption.",2011-08-26,91,en,Released,tt1470020,0.8594,5.0,11,False,False,/w1NBcLgbJAyuuat0UcIpKQnHmJA.jpg,,,,0,0,,
36838,Mr. Rossi's Dreams,I sogni del signor Rossi,"At the end of another week of work Rossi returns home with the intention of enjoying a quiet and peaceful weekend. He lives with Gastone, his dog-friend,who, after a week of loneliness, can't wait to go out, for instance to the movies, and have fun. Gastone as a matter of fact is a passionate fan of movies, television and heroes' books. He always compares Rossi with them and nags with a petulant : ""Rossi, Rossi, if you only were...braver, stronger, richer..."". His continuous complaints push Rossi to identify himself with those heroes; throughout the film we will meet Rossi-Tarzan, Rossi-Astronaut, Rossi-Sherlock Holmes, Rossi-Zorro, Rossi-Hollywood actor, Rossi-scientist, Rossi-Lancelot, Rossi-Aladdin. Eight fantastic adventures in which Rossi, along with faithful Gastone, relishes the joy of being a hero.",1977-08-04,80,it,Released,tt0078287,0.4311,6.833,6,False,False,/v4i2Sde2sRK6rsmTaQYFSo5pxQU.jpg,/77gHhAxZBX6V1Udj7eNsip6YluS.jpg,,,0,0,1647325,Il signor Rossi (film) - Collezione
74469,The Story of Louis Pasteur,The Story of Louis Pasteur,"A true story about Louis Pasteur, who revolutionized medicine by proving that much disease is caused by microbes, that sanitation is paramount and that at least some diseases can be cured by vaccinations.",1936-02-22,86,en,Released,tt0028313,0.8754,6.923,52,False,False,/tEYBb5ZKK22TWSwLY1hkFSD2rjG.jpg,/dNrOYlSjx9F6WPrtVaKai6OAa1k.jpg,,If This Story Didn't Have a Happy Ending YOU and YOU and YOU Might Not Be Alive Today to See It...,0,0,,
43989,Sud,Sud,"During a hot Sunday afternoon in a small Southern Italian town, a school serving as a polling place is occupied by a group of three locals and an Eritrean immigrant, all unemployed, desperate and armed.",1993-10-17,86,it,Released,tt0108245,1.0068,6.792,60,False,False,/uuW31XFnBnsqXOavWQazugcffNq.jpg,/2K35wASTpoiH9G1DtF0DEcbxjbu.jpg,,,0,0,,
76960,Rules of Single Life,Rules of Single Life,A Finnish documentary follows four young men who have one year to find new love in Helsinki.,2011-04-01,,fi,Released,tt1433819,0.1765,3.0,1,False,False,/aI6rWaRh4lJHgJbEvziRKzE17Jj.jpg,,,,0,0,,
79553,The Front Line,고지전,"In 1951 ceasefire is declared, but two remaining armies fought their final battle on the front line Towards the end of the Korean War, a South Korean battalion is fiercely battling over a hill on the front line border against the North in order to capture a strategic point that would determine the new border between two nations. The ownership of this small patch of land would swap multiple times each day. Kang is dispatched to the front line in order to investigate the tacit case that’s been happening there.",2011-07-20,133,ko,Released,tt2007387,2.421,7.174,198,False,False,/cRw9czK3hOnNenW1iVVpGM3kbn7.jpg,/pDgX3i0xd3bzLCmh6ejapPNMQx4.jpg,,Last battle of the Korean War.,10000000,15786086,,
8069,Barbarella,Barbarella,"In the far future, a highly sexual woman is tasked with finding and stopping the evil Durand-Durand. Along the way she encounters various unusual people.",1968-10-10,98,en,Released,tt0062711,4.1613,5.989,824,False,False,/facTz5BZz4AkJal1FWgjYciekih.jpg,/gY8essk1UcNZMK3VRkPpdaUQLDQ.jpg,,See Barbarella do her thing!,9000000,2500000,,
13875,Baby Einstein: Baby Van Gogh - World of Colors,Baby Einstein: Baby Van Gogh - World of Colors,"This unique video, starring ""Vincent Van Goat,"" introduces babies and toddlers to basic colors through charming puppetry, timeless art, live-action footage, classical music and child-friendly poetry. Includes images of Van Gogh's most famous ... Full Descriptionpaintings. Featuring child-friendly arrangements of music by Brahms, Ravel, Strauss, Tchaikovsky and others.",2000-08-15,70,en,Released,tt0488492,0.2641,6.0,5,False,True,/m7XlMhe6VOZ7jRUZGqksTUCbE88.jpg,/8wN80BIP47pgcplDtJvR19Yu0sp.jpg,,,0,0,,
37855,Life on Earth,La Vie sur Terre,"Just before the turn of the 21st century, Drahmane returns to his father's village in Sokolo, Mali. A contemplative bike stroll around town makes him reflect on the significance of time passing at the dawn of a new millennium. As everybody goes on with their daily tasks, Sokolo might as well be the center of the world. The film earned Sissako awards at the Fribourg International Film Festival, the Ouagadougou Panafrican Film and Television Festival and the San Francisco International Film Festival.",1998-07-01,61,fr,Released,tt0157160,0.3695,6.033,15,False,False,/atf9YMyOG7Qx6sngROXbzSHxYUr.jpg,/qrKlmUZF4RJxKPqzqwLvtWEbr74.jpg,,"""Europe is not my center. Europe is on the outskirts!""",0,0,,
