company_id,company_name,logo_path,origin_country
2,Walt Disney Pictures,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,US
1280,Pacific Western,,US
61949,International Film Consortium,,
61950,Bellwether Films,,
61951,Berwether Inc.,,
42761,Wescom Barber International,,
18068,Adams Apple Film Company,,
22051,South Street Films,,
20691,Essential Filmproduktion,/zB4VpQ8BDxKKhUXam2u57ZZ9mtx.png,DE
25522,Société Parisienne de Production,,FR
91783,Sota Cinema Group,/iVG8XTM5XVmsXJHxdt0CyucWuVH.png,UA
74213,Agora Films,,FR
6505,Coproduction Office,/tjpzIYXGAh8DXoMIzYtuuUpiqb3.png,DK
3391,ORF,/t0QBs2fI3mE3HxgoH1n39bYuzNu.png,AT
122,Coop99 Filmproduktion,/pbRxJ8oia1MypvLbukeamObtYr2.png,AT
19929,EMC Produktion,,DE
15469,Sogetel,/g5vcTT1IgeRyhcpqPvThutjBtOa.png,ES
